date,overall_sentiment_score,ticker_sentiment_score,ticker,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,price_movement
2022-07-18,0.177016,0.11466581818181817,AAPL,150.74,151.57,146.7,147.07,145.260263026143,81420868,0.0,1.0,1
2022-07-19,0.0994587659574468,0.07560614893617021,AAPL,147.92,151.23,146.91,151.0,149.141903290594,82982367,0.0,1.0,1
2022-07-20,0.12243299999999999,0.0865070975609756,AAPL,151.12,153.72,150.37,153.04,151.156800527103,64823413,0.0,1.0,1
2022-07-21,0.09175742857142857,0.08869092857142857,AAPL,154.5,155.57,151.94,155.35,153.438375339032,65086636,0.0,1.0,0
2022-07-22,0.09354502272727272,0.08431920454545455,AAPL,155.39,156.28,153.41,154.09,152.19387998707,66675408,0.0,1.0,0
2022-07-25,0.0955216862745098,0.08589801960784313,AAPL,154.01,155.04,152.28,152.95,151.067908001962,53623945,0.0,1.0,0
2022-07-26,0.07628969444444444,0.048600833333333336,AAPL,152.265,153.085,150.8,151.6,149.734520124861,55138691,0.0,1.0,1
2022-07-27,0.11700637837837838,0.11604029729729731,AAPL,152.58,157.33,152.16,156.79,154.860655741273,78620688,0.0,1.0,1
2022-07-28,0.10127469230769232,0.08562513846153846,AAPL,156.98,157.64,154.41,157.35,155.413764786589,81378731,0.0,1.0,1
2022-07-29,0.09775045205479452,0.16785619178082192,AAPL,161.24,163.63,159.5,162.51,160.510269561287,101786860,0.0,1.0,0
2022-08-01,0.132706,0.1727079411764706,AAPL,161.01,163.59,160.89,161.51,159.522574837509,67829379,0.0,1.0,0
2022-08-02,0.06919004166666667,0.030284125,AAPL,160.1,162.41,159.63,160.01,158.041032751841,59907025,0.0,1.0,1
2022-08-03,0.1583742142857143,0.16038164285714288,AAPL,160.84,166.59,160.75,166.13,164.085724461367,82507488,0.0,1.0,0
2022-08-04,0.1543878,0.12751656,AAPL,166.005,167.19,164.43,165.81,163.769662149757,55474144,0.0,1.0,0
2022-08-05,0.11589514285714285,0.0508394761904762,AAPL,163.21,165.85,163.0,165.35,163.542492363288,56696985,0.23,1.0,0
2022-08-08,0.08533870967741936,0.0729944193548387,AAPL,166.37,167.81,164.2,164.87,163.067739437166,60362338,0.0,1.0,1
2022-08-09,0.13385196774193547,0.11478661290322581,AAPL,164.02,165.82,163.25,164.92,163.11719286697,63135503,0.0,1.0,1
2022-08-10,0.1307936129032258,0.16697548387096775,AAPL,167.68,169.34,166.9,169.24,167.389969202074,70170540,0.0,1.0,0
2022-08-11,0.15452941935483872,0.08050596774193548,AAPL,170.06,170.99,168.19,168.49,166.648167755007,57149159,0.0,1.0,1
2022-08-12,0.13863934375,0.09571656249999999,AAPL,169.82,172.17,169.4,172.1,170.218705386888,68039382,0.0,1.0,1
2022-08-15,0.11569620689655172,0.13205634482758621,AAPL,171.52,173.39,171.345,173.19,171.296790156625,54091694,0.0,1.0,0
2022-08-16,0.1475632,0.11082464444444445,AAPL,172.78,173.71,171.6618,173.03,171.138539181251,56377050,0.0,1.0,1
2022-08-17,0.14754723529411765,0.17146435294117646,AAPL,172.77,176.15,172.57,174.55,172.641923447306,79542037,0.0,1.0,0
2022-08-18,0.12393855555555555,0.10239088888888889,AAPL,173.75,174.9,173.12,174.15,172.24629600887,62290075,0.0,1.0,0
2022-08-19,0.07712206896551725,0.050572275862068965,AAPL,173.03,173.74,171.3101,171.52,169.645045601156,70346295,0.0,1.0,0
2022-08-22,0.11184963333333334,0.10559386666666667,AAPL,169.69,169.86,167.135,167.57,165.738224646605,69026809,0.0,1.0,0
2022-08-23,0.12099545238095237,0.13189440476190478,AAPL,167.08,168.71,166.65,167.23,165.401941323935,54147079,0.0,1.0,1
2022-08-24,0.15552444,0.10550916,AAPL,167.32,168.11,166.245,167.53,165.698661902762,53841524,0.0,1.0,1
2022-08-25,0.12372923529411765,0.10052452941176471,AAPL,168.78,170.14,168.35,170.03,168.171333392984,51218209,0.0,1.0,0
2022-08-26,0.12471422580645161,0.07266016129032257,AAPL,170.57,171.05,163.56,163.62,161.831403692055,78960980,0.0,1.0,0
2022-08-29,0.103332175,0.061132200000000005,AAPL,161.145,162.9,159.82,161.38,159.615890036816,72724452,0.0,1.0,0
2022-08-30,0.06985394285714286,0.04619002857142857,AAPL,162.13,162.56,157.72,158.91,157.172890604476,77906197,0.0,1.0,0
2022-08-31,0.032857874999999995,-0.031480666666666664,AAPL,160.305,160.58,157.14,157.22,155.501364677086,87991091,0.0,1.0,1
