date,overall_sentiment_score,ticker_sentiment_score,ticker,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,price_movement,overall_sentiment_score_3d_avg,ticker_sentiment_score_3d_avg,overall_sentiment_trend,ticker_sentiment_trend
2022-10-28,0.1391005,0.080094,AAPL,148.2,157.5,147.82,155.74,154.037543154875,164762371,0.0,1.0,0,0.0,0.0,0.0,0.0
2022-10-31,0.1160928474576271,0.0850409322033898,AAPL,153.155,154.24,151.92,153.34,151.663778524261,97943171,0.0,1.0,0,0.0,0.0,0.0,0.0
2022-11-01,0.0383607307692307,-0.0004731153846153,AAPL,155.08,155.45,149.13,150.65,149.003184000782,80379345,0.0,1.0,0,0.0978513594089526,0.054887272272924836,-0.059490628639721904,-0.05536038765754014
2022-11-02,0.0471844666666666,0.0787664333333333,AAPL,148.945,152.17,145.0,145.03,143.444618490763,93604623,0.0,1.0,0,0.0672126816311748,0.0544447500507026,-0.020028214964508205,0.0243216832826307
2022-11-03,0.0591466176470588,0.0909541176470588,AAPL,142.06,142.8,138.75,138.88,137.361846624817,97918516,0.0,1.0,0,0.04823060502765203,0.05641581186525894,0.010916012619406772,0.03453830578179986
2022-11-04,0.0786778888888888,0.0328778333333333,AAPL,142.09,142.67,134.38,138.38,137.094798103873,140814796,0.23,1.0,1,0.061669657734204734,0.0675327947712418,0.017008231154684063,-0.0346549614379085
2022-11-07,0.0335287358490566,0.0117338679245283,AAPL,137.11,139.145,135.671,138.92,137.629782863058,83374628,0.0,1.0,1,0.05711774746166807,0.04518860630164013,-0.02358901161261147,-0.033454738377111826
2022-11-08,0.0878307037037037,0.0217375185185185,AAPL,140.41,141.43,137.49,139.5,138.204396122924,89908477,0.0,1.0,0,0.0666791094805497,0.0221164065921267,0.021151594223154005,-0.00037888807360820023
2022-11-09,0.0702738372093023,0.0350155813953488,AAPL,138.5,138.55,134.5933,134.87,133.617397169167,74917794,0.0,1.0,1,0.06387775892068753,0.0228289892794652,0.0063960782886147705,0.012186592115883601
2022-11-10,0.0579927021276595,0.0489356382978723,AAPL,141.24,146.87,139.5,146.87,145.50594737329,118854028,0.0,1.0,1,0.0720324143468885,0.0352295794039132,-0.014039712219228992,0.013706058893959101
2022-11-11,0.0763817894736842,0.0908097105263158,AAPL,145.82,150.01,144.37,149.7,148.309663796429,93979665,0.0,1.0,0,0.06821610960354867,0.0582536434065123,0.008165679870135528,0.0325560671198035
